
Date: 03/02/2025,Time: 22:47:22,Successful 100.00%
Test,0,StreamOut,Successful
Test,1,StreamIn,Successful
Test,2,Append,Successful
Test,3,Lowercase,Successful
Test,4,Uppercase,Successful
Test,5,FindPresentCharacter,Successful
Test,6,FindNonPresentCharacter,Successful
Test,7,ReplaceCharacters,Successful
Test,8,IndexInBounds,Successful
Test,9,IndexOutOfBounds,Successful
Test,10,Equality,Successful
Test,11,Inequality,Successful
Test,12,Equals,Successful
Test,13,LessThanTrue,Successful
Test,14,LessThanFalse,Successful
Test,15,LessThanSame,Successful
Test,16,LessThanSimilar,Successful

Date: 03/02/2025,Time: 22:47:26,Successful 88.24%
Test,0,StreamOut,Failed
Test,1,StreamIn,Failed
Test,2,Append,Successful
Test,3,Lowercase,Successful
Test,4,Uppercase,Successful
Test,5,FindPresentCharacter,Successful
Test,6,FindNonPresentCharacter,Successful
Test,7,ReplaceCharacters,Successful
Test,8,IndexInBounds,Successful
Test,9,IndexOutOfBounds,Successful
Test,10,Equality,Successful
Test,11,Inequality,Successful
Test,12,Equals,Successful
Test,13,LessThanTrue,Successful
Test,14,LessThanFalse,Successful
Test,15,LessThanSame,Successful
Test,16,LessThanSimilar,Successful

Date: 03/02/2025,Time: 22:47:32,Successful 94.12%
Test,0,StreamOut,Successful
Test,1,StreamIn,Failed
Test,2,Append,Successful
Test,3,Lowercase,Successful
Test,4,Uppercase,Successful
Test,5,FindPresentCharacter,Successful
Test,6,FindNonPresentCharacter,Successful
Test,7,ReplaceCharacters,Successful
Test,8,IndexInBounds,Successful
Test,9,IndexOutOfBounds,Successful
Test,10,Equality,Successful
Test,11,Inequality,Successful
Test,12,Equals,Successful
Test,13,LessThanTrue,Successful
Test,14,LessThanFalse,Successful
Test,15,LessThanSame,Successful
Test,16,LessThanSimilar,Successful
